2025-06-15 12:44:30,004 - sparsemodesnet.heat_equation - INFO - Starting heat_equation experiment
2025-06-15 12:44:30,004 - sparsemodesnet.heat_equation - INFO - Log file: logs/heat_equation_20250615_124430.log
2025-06-15 12:44:30,005 - sparsemodesnet.heat_equation - INFO - Experiment: Heat Equation
2025-06-15 12:44:30,005 - sparsemodesnet.heat_equation - INFO - Data shape: (128, 1000)
2025-06-15 12:44:30,005 - sparsemodesnet.heat_equation - INFO - POD dimension: 128
2025-06-15 12:44:30,006 - sparsemodesnet.heat_equation - INFO - Hidden units: [128, 8256]
2025-06-15 12:44:30,006 - sparsemodesnet.heat_equation - INFO - Regularization method: dense2sparse
2025-06-15 12:44:30,006 - sparsemodesnet.heat_equation - INFO - Device: mps
2025-06-15 12:44:30,007 - sparsemodesnet.heat_equation - INFO - Training parameters: M=1e-05, lr=0.001, batch_size=64
2025-06-15 12:44:30,007 - sparsemodesnet.heat_equation - INFO - Optimizer: Adam, knee_method: zmethod
2025-06-15 12:44:30,007 - sparsemodesnet.heat_equation - INFO - ==================================================

=== SparseModesNet (λ-path=dense2sparse) on Heat Equation: d=128, n=1000, s=128 ===

=== Dense-To-Sparse (default) λ-Path ===

-- Path iteration 1, λ = 1.000e-07   (r(λ) prev = 128)
  λ=2.074e-07 | Epoch  70 | lr=6.2500e-05 | Recon MSE=1.095209e-03 | ‖ω‖₁=8.699576e-01
  λ=2.074e-07 | Epoch  80 | lr=3.1250e-05 | Recon MSE=1.444388e-03 | ‖ω‖₁=8.776458e-01
  → at λ=2.074e-07:  r(λ)=6,  rel_err=9.982089e-02

-- Path iteration 6, λ = 2.488e-07   (r(λ) prev = 6)
  λ=2.488e-07 | Epoch   1 | lr=1.0000e-03 | Recon MSE=1.268691e-01 | ‖ω‖₁=4.174789e-02
  λ=2.488e-07 | Epoch  10 | lr=1.0000e-03 | Recon MSE=9.220172e-02 | ‖ω‖₁=6.170963e-01
  λ=2.488e-07 | Epoch  20 | lr=5.0000e-04 | Recon MSE=2.449721e-03 | ‖ω‖₁=8.162161e-01
  λ=2.488e-07 | Epoch  30 | lr=5.0000e-04 | Recon MSE=1.260447e-03 | ‖ω‖₁=8.174188e-01
  λ=2.488e-07 | Epoch  40 | lr=2.5000e-04 | Recon MSE=1.241174e-03 | ‖ω‖₁=8.419215e-01
  λ=2.488e-07 | Epoch  50 | lr=1.2500e-04 | Recon MSE=1.430978e-03 | ‖ω‖₁=8.517579e-01
  λ=2.488e-07 | Epoch  60 | lr=1.2500e-04 | Recon MSE=1.195696e-03 | ‖ω‖₁=8.577158e-01
  λ=2.488e-07 | Epoch  70 | lr=6.2500e-05 | Recon MSE=1.004511e-03 | ‖ω‖₁=8.698136e-01
  λ=2.488e-07 | Epoch  80 | lr=3.1250e-05 | Recon MSE=1.833383e-03 | ‖ω‖₁=8.816227e-01
  → at λ=2.488e-07:  r(λ)=6,  rel_err=1.759628e-01

-- Path iteration 7, λ = 2.986e-07   (r(λ) prev = 6)
  λ=2.986e-07 | Epoch   1 | lr=1.0000e-03 | Recon MSE=1.268549e-01 | ‖ω‖₁=4.278995e-02
  λ=2.986e-07 | Epoch  10 | lr=1.0000e-03 | Recon MSE=9.223444e-02 | ‖ω‖₁=5.992868e-01
  λ=2.986e-07 | Epoch  20 | lr=5.0000e-04 | Recon MSE=2.436132e-03 | ‖ω‖₁=8.104758e-01
  λ=2.986e-07 | Epoch  30 | lr=5.0000e-04 | Recon MSE=1.245734e-03 | ‖ω‖₁=8.096282e-01
  λ=2.986e-07 | Epoch  40 | lr=2.5000e-04 | Recon MSE=1.367358e-03 | ‖ω‖₁=8.248626e-01
  λ=2.986e-07 | Epoch  50 | lr=1.2500e-04 | Recon MSE=1.427823e-03 | ‖ω‖₁=8.467113e-01
  λ=2.986e-07 | Epoch  60 | lr=1.2500e-04 | Recon MSE=1.872673e-03 | ‖ω‖₁=8.496087e-01
  λ=2.986e-07 | Epoch  70 | lr=6.2500e-05 | Recon MSE=1.394910e-03 | ‖ω‖₁=8.578398e-01
  λ=2.986e-07 | Epoch  80 | lr=3.1250e-05 | Recon MSE=1.629489e-03 | ‖ω‖₁=8.679264e-01
  → at λ=2.986e-07:  r(λ)=6,  rel_err=1.591976e-01

-- Path iteration 8, λ = 3.583e-07   (r(λ) prev = 6)
  λ=3.583e-07 | Epoch   1 | lr=1.0000e-03 | Recon MSE=1.268567e-01 | ‖ω‖₁=4.459266e-02
  λ=3.583e-07 | Epoch  10 | lr=1.0000e-03 | Recon MSE=9.222886e-02 | ‖ω‖₁=6.065654e-01
  λ=3.583e-07 | Epoch  20 | lr=5.0000e-04 | Recon MSE=2.420400e-03 | ‖ω‖₁=8.530243e-01
  λ=3.583e-07 | Epoch  30 | lr=5.0000e-04 | Recon MSE=1.252507e-03 | ‖ω‖₁=8.638458e-01
  λ=3.583e-07 | Epoch  40 | lr=2.5000e-04 | Recon MSE=1.228997e-03 | ‖ω‖₁=8.701410e-01
  λ=3.583e-07 | Epoch  50 | lr=1.2500e-04 | Recon MSE=1.231956e-03 | ‖ω‖₁=8.713640e-01
  λ=3.583e-07 | Epoch  60 | lr=1.2500e-04 | Recon MSE=1.230553e-03 | ‖ω‖₁=8.749615e-01
  λ=3.583e-07 | Epoch  70 | lr=6.2500e-05 | Recon MSE=9.753805e-04 | ‖ω‖₁=8.849195e-01
  λ=3.583e-07 | Epoch  80 | lr=3.1250e-05 | Recon MSE=1.155635e-03 | ‖ω‖₁=8.992271e-01
  → at λ=3.583e-07:  r(λ)=6,  rel_err=8.494370e-02

-- Path iteration 9, λ = 4.300e-07   (r(λ) prev = 6)
  λ=4.300e-07 | Epoch   1 | lr=1.0000e-03 | Recon MSE=1.268452e-01 | ‖ω‖₁=4.328912e-02
  λ=4.300e-07 | Epoch  10 | lr=1.0000e-03 | Recon MSE=9.219403e-02 | ‖ω‖₁=5.883750e-01
  λ=4.300e-07 | Epoch  20 | lr=5.0000e-04 | Recon MSE=2.387113e-03 | ‖ω‖₁=7.778222e-01
  λ=4.300e-07 | Epoch  30 | lr=5.0000e-04 | Recon MSE=1.210678e-03 | ‖ω‖₁=7.888036e-01
  λ=4.300e-07 | Epoch  40 | lr=2.5000e-04 | Recon MSE=1.265819e-03 | ‖ω‖₁=7.979205e-01
  λ=4.300e-07 | Epoch  50 | lr=1.2500e-04 | Recon MSE=1.162306e-03 | ‖ω‖₁=8.239987e-01
  λ=4.300e-07 | Epoch  60 | lr=1.2500e-04 | Recon MSE=1.216916e-03 | ‖ω‖₁=8.273254e-01
  λ=4.300e-07 | Epoch  70 | lr=6.2500e-05 | Recon MSE=2.524219e-03 | ‖ω‖₁=8.407704e-01
  λ=4.300e-07 | Epoch  80 | lr=3.1250e-05 | Recon MSE=1.149392e-03 | ‖ω‖₁=8.509985e-01
  → at λ=4.300e-07:  r(λ)=6,  rel_err=3.700008e-01

-- Path iteration 10, λ = 5.160e-07   (r(λ) prev = 6)
  λ=5.160e-07 | Epoch   1 | lr=1.0000e-03 | Recon MSE=1.268601e-01 | ‖ω‖₁=3.755340e-02
  λ=5.160e-07 | Epoch  10 | lr=1.0000e-03 | Recon MSE=9.211093e-02 | ‖ω‖₁=5.972145e-01
  λ=5.160e-07 | Epoch  20 | lr=5.0000e-04 | Recon MSE=2.264800e-03 | ‖ω‖₁=8.023904e-01
  λ=5.160e-07 | Epoch  30 | lr=5.0000e-04 | Recon MSE=1.239742e-03 | ‖ω‖₁=8.107713e-01
  λ=5.160e-07 | Epoch  40 | lr=2.5000e-04 | Recon MSE=1.216406e-03 | ‖ω‖₁=8.165115e-01
  λ=5.160e-07 | Epoch  50 | lr=1.2500e-04 | Recon MSE=1.227930e-03 | ‖ω‖₁=8.250896e-01
  λ=5.160e-07 | Epoch  60 | lr=1.2500e-04 | Recon MSE=2.066809e-03 | ‖ω‖₁=8.306195e-01
  λ=5.160e-07 | Epoch  70 | lr=6.2500e-05 | Recon MSE=1.004411e-03 | ‖ω‖₁=8.431286e-01
  λ=5.160e-07 | Epoch  80 | lr=3.1250e-05 | Recon MSE=1.246474e-03 | ‖ω‖₁=8.572665e-01
  → at λ=5.160e-07:  r(λ)=6,  rel_err=9.739774e-02

-- Path iteration 11, λ = 6.192e-07   (r(λ) prev = 6)
  λ=6.192e-07 | Epoch   1 | lr=1.0000e-03 | Recon MSE=1.268696e-01 | ‖ω‖₁=4.276513e-02
  λ=6.192e-07 | Epoch  10 | lr=1.0000e-03 | Recon MSE=9.240906e-02 | ‖ω‖₁=6.137963e-01
  λ=6.192e-07 | Epoch  20 | lr=5.0000e-04 | Recon MSE=2.581419e-03 | ‖ω‖₁=7.836965e-01
  λ=6.192e-07 | Epoch  30 | lr=5.0000e-04 | Recon MSE=1.238383e-03 | ‖ω‖₁=7.999505e-01
  λ=6.192e-07 | Epoch  40 | lr=2.5000e-04 | Recon MSE=1.277312e-03 | ‖ω‖₁=8.112905e-01
  λ=6.192e-07 | Epoch  50 | lr=1.2500e-04 | Recon MSE=1.417087e-03 | ‖ω‖₁=8.256773e-01
  λ=6.192e-07 | Epoch  60 | lr=1.2500e-04 | Recon MSE=2.271490e-03 | ‖ω‖₁=8.266252e-01
  λ=6.192e-07 | Epoch  70 | lr=6.2500e-05 | Recon MSE=1.187512e-03 | ‖ω‖₁=8.400370e-01
  λ=6.192e-07 | Epoch  80 | lr=3.1250e-05 | Recon MSE=1.401271e-03 | ‖ω‖₁=8.496794e-01
  → at λ=6.192e-07:  r(λ)=5,  rel_err=1.011341e-01

-- Path iteration 12, λ = 7.430e-07   (r(λ) prev = 5)
  λ=7.430e-07 | Epoch   1 | lr=1.0000e-03 | Recon MSE=1.268568e-01 | ‖ω‖₁=4.245365e-02
  λ=7.430e-07 | Epoch  10 | lr=1.0000e-03 | Recon MSE=9.231061e-02 | ‖ω‖₁=5.911559e-01
  λ=7.430e-07 | Epoch  20 | lr=5.0000e-04 | Recon MSE=2.477618e-03 | ‖ω‖₁=7.653873e-01
  λ=7.430e-07 | Epoch  30 | lr=5.0000e-04 | Recon MSE=1.233387e-03 | ‖ω‖₁=7.810604e-01
  λ=7.430e-07 | Epoch  40 | lr=2.5000e-04 | Recon MSE=4.117382e-03 | ‖ω‖₁=7.926350e-01
  λ=7.430e-07 | Epoch  50 | lr=1.2500e-04 | Recon MSE=1.148217e-03 | ‖ω‖₁=8.055875e-01
  λ=7.430e-07 | Epoch  60 | lr=1.2500e-04 | Recon MSE=1.729871e-03 | ‖ω‖₁=8.106127e-01
  λ=7.430e-07 | Epoch  70 | lr=6.2500e-05 | Recon MSE=1.032152e-03 | ‖ω‖₁=8.224243e-01
