2025-06-24 17:17:59,009 - sparsemodesnet.pulse_ff_decoder - INFO - Starting pulse_ff_decoder experiment
2025-06-24 17:17:59,010 - sparsemodesnet.pulse_ff_decoder - INFO - Log file: logs/pulse_ff_decoder_20250624_171759.log
2025-06-24 17:17:59,010 - sparsemodesnet.pulse_ff_decoder - INFO - Experiment: Pulse FF Decoder
2025-06-24 17:17:59,010 - sparsemodesnet.pulse_ff_decoder - INFO - Data shape: (1024, 1000)
2025-06-24 17:17:59,011 - sparsemodesnet.pulse_ff_decoder - INFO - POD dimension: 200
2025-06-24 17:17:59,011 - sparsemodesnet.pulse_ff_decoder - INFO - Hidden units: [200, 20100]
2025-06-24 17:17:59,012 - sparsemodesnet.pulse_ff_decoder - INFO - Mode Selection Method: None
2025-06-24 17:17:59,012 - sparsemodesnet.pulse_ff_decoder - INFO - Device: mps
2025-06-24 17:17:59,013 - sparsemodesnet.pulse_ff_decoder - INFO - Training parameters: M=1.0, lr=0.001, batch_size=128
2025-06-24 17:17:59,013 - sparsemodesnet.pulse_ff_decoder - INFO - Optimizer: Adam, knee_method: dfdt
2025-06-24 17:17:59,013 - sparsemodesnet.pulse_ff_decoder - INFO - NN type: Feedforward
2025-06-24 17:17:59,013 - sparsemodesnet.pulse_ff_decoder - INFO - ==================================================
Skipping mode selection.

→ Training decoder model with 20 selected modes ...
  Epoch 1250 | lr=1.2500e-04 | Recon MSE=2.165360e-02
  Epoch 1260 | lr=1.2500e-04 | Recon MSE=2.224143e-02
  Epoch 1270 | lr=1.2500e-04 | Recon MSE=2.187766e-02
  Epoch 1280 | lr=1.2500e-04 | Recon MSE=2.215399e-02
  Epoch 1290 | lr=1.2500e-04 | Recon MSE=2.349157e-02
  Epoch 1300 | lr=1.2500e-04 | Recon MSE=2.257935e-02
  Epoch 1310 | lr=1.2500e-04 | Recon MSE=2.506485e-02
  Epoch 1320 | lr=1.2500e-04 | Recon MSE=2.573722e-02
  Epoch 1330 | lr=1.2500e-04 | Recon MSE=2.789093e-02
  Epoch 1340 | lr=1.2500e-04 | Recon MSE=2.444435e-02
  Epoch 1350 | lr=1.2500e-04 | Recon MSE=2.475255e-02
  Epoch 1360 | lr=1.2500e-04 | Recon MSE=2.649894e-02
  Epoch 1370 | lr=1.2500e-04 | Recon MSE=2.935880e-02
  Epoch 1380 | lr=1.2500e-04 | Recon MSE=2.601066e-02
  Epoch 1390 | lr=1.2500e-04 | Recon MSE=3.006137e-02
  Epoch 1400 | lr=1.2500e-04 | Recon MSE=3.129124e-02
  Epoch 1410 | lr=1.2500e-04 | Recon MSE=3.652408e-02
  Epoch 1420 | lr=1.2500e-04 | Recon MSE=3.197460e-02
  Epoch 1430 | lr=1.2500e-04 | Recon MSE=3.202873e-02
  Epoch 1440 | lr=1.2500e-04 | Recon MSE=3.385063e-02
  Epoch 1450 | lr=1.2500e-04 | Recon MSE=4.065513e-02
  Epoch 1460 | lr=1.2500e-04 | Recon MSE=3.269390e-02
  Epoch 1470 | lr=1.2500e-04 | Recon MSE=3.347696e-02
  Epoch 1480 | lr=1.2500e-04 | Recon MSE=3.043297e-02
  Epoch 1490 | lr=1.2500e-04 | Recon MSE=3.287753e-02
  Epoch 1500 | lr=1.2500e-04 | Recon MSE=3.598434e-02
  Epoch 1510 | lr=1.2500e-04 | Recon MSE=3.691640e-02
  Epoch 1520 | lr=1.2500e-04 | Recon MSE=3.498405e-02
  Epoch 1530 | lr=1.2500e-04 | Recon MSE=3.158358e-02
  Epoch 1540 | lr=1.2500e-04 | Recon MSE=3.625404e-02
  Epoch 1550 | lr=1.2500e-04 | Recon MSE=3.598971e-02
  Epoch 1560 | lr=1.2500e-04 | Recon MSE=3.541031e-02
  Epoch 1570 | lr=1.2500e-04 | Recon MSE=3.068683e-02
  Epoch 1580 | lr=1.2500e-04 | Recon MSE=3.182767e-02
  Epoch 1590 | lr=1.2500e-04 | Recon MSE=3.753429e-02
  Epoch 1600 | lr=6.2500e-05 | Recon MSE=3.963708e-02
  Epoch 1610 | lr=6.2500e-05 | Recon MSE=1.473007e-02
  Epoch 1620 | lr=6.2500e-05 | Recon MSE=1.580905e-02
  Epoch 1630 | lr=6.2500e-05 | Recon MSE=1.493538e-02
  Epoch 1640 | lr=6.2500e-05 | Recon MSE=1.479296e-02
  Epoch 1650 | lr=6.2500e-05 | Recon MSE=1.451876e-02
  Epoch 1660 | lr=6.2500e-05 | Recon MSE=1.524891e-02
  Epoch 1670 | lr=6.2500e-05 | Recon MSE=1.494737e-02
  Epoch 1680 | lr=6.2500e-05 | Recon MSE=1.467596e-02
  Epoch 1690 | lr=6.2500e-05 | Recon MSE=1.513215e-02
  Epoch 1700 | lr=6.2500e-05 | Recon MSE=1.626476e-02
  Epoch 1710 | lr=6.2500e-05 | Recon MSE=1.595260e-02
  Epoch 1720 | lr=6.2500e-05 | Recon MSE=1.706383e-02
  Epoch 1730 | lr=6.2500e-05 | Recon MSE=1.601525e-02
  Epoch 1740 | lr=6.2500e-05 | Recon MSE=1.589366e-02
  Epoch 1750 | lr=6.2500e-05 | Recon MSE=1.585292e-02
  Epoch 1760 | lr=6.2500e-05 | Recon MSE=1.755742e-02
  Epoch 1770 | lr=6.2500e-05 | Recon MSE=1.685342e-02
  Epoch 1780 | lr=6.2500e-05 | Recon MSE=1.657719e-02
  Epoch 1790 | lr=6.2500e-05 | Recon MSE=1.640634e-02
  Epoch 1800 | lr=6.2500e-05 | Recon MSE=1.756387e-02
  Epoch 1810 | lr=6.2500e-05 | Recon MSE=1.714153e-02
  Epoch 1820 | lr=6.2500e-05 | Recon MSE=1.816713e-02
  Epoch 1830 | lr=6.2500e-05 | Recon MSE=1.864580e-02
  Epoch 1840 | lr=6.2500e-05 | Recon MSE=1.880479e-02
  Epoch 1850 | lr=6.2500e-05 | Recon MSE=1.860429e-02
  Epoch 1860 | lr=6.2500e-05 | Recon MSE=1.759160e-02
  Epoch 1870 | lr=6.2500e-05 | Recon MSE=1.854042e-02
  Epoch 1880 | lr=6.2500e-05 | Recon MSE=1.926779e-02
  Epoch 1890 | lr=6.2500e-05 | Recon MSE=1.802972e-02
  Epoch 1900 | lr=6.2500e-05 | Recon MSE=1.944984e-02
  Epoch 1910 | lr=6.2500e-05 | Recon MSE=1.832908e-02
  Epoch 1920 | lr=6.2500e-05 | Recon MSE=1.771335e-02
  Epoch 1930 | lr=6.2500e-05 | Recon MSE=1.724263e-02
  Epoch 1940 | lr=6.2500e-05 | Recon MSE=1.965336e-02
  Epoch 1950 | lr=6.2500e-05 | Recon MSE=1.817969e-02
  Epoch 1960 | lr=6.2500e-05 | Recon MSE=2.019789e-02
  Epoch 1970 | lr=6.2500e-05 | Recon MSE=1.663374e-02
  Epoch 1980 | lr=6.2500e-05 | Recon MSE=1.867352e-02
  Epoch 1990 | lr=6.2500e-05 | Recon MSE=1.880846e-02
  Epoch 2000 | lr=3.1250e-05 | Recon MSE=1.775135e-02
Final relative reconstruction error: ||X - X_hat||_F / ||X||_F = 1.753946e-02
Final MSE per sample: 9.422185e-02
Relative error using only selected modes: 4.917446e-01
MSE per sample using only selected modes: 2.641648e+00
2025-06-24 17:20:07,767 - sparsemodesnet.pulse_ff_decoder - INFO - ==================================================
2025-06-24 17:20:07,768 - sparsemodesnet.pulse_ff_decoder - INFO - Experiment completed successfully!
2025-06-24 17:20:07,768 - sparsemodesnet.pulse_ff_decoder - INFO - Selected 20 modes out of 200
2025-06-24 17:20:07,768 - sparsemodesnet.pulse_ff_decoder - INFO - Selected modes indices: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]
2025-06-24 17:20:07,769 - sparsemodesnet.pulse_ff_decoder - INFO - Final relative error: 1.753946e-02
