Starting heat_equation experiment
Log file: logs/heat_equation_20250615_122424.log
Experiment: Heat Equation
Data shape: (128, 1000)
POD dimension: 128
Hidden units: [128, 8256]
Regularization method: dense2sparse
Device: mps
Training parameters: M=10.0, lr=0.001, batch_size=64
Optimizer: Adam, knee_method: zmethod
==================================================

=== SparseModesNet (λ-path=dense2sparse) on Heat Equation: d=128, n=1000, s=128 ===

=== Dense-To-Sparse (default) λ-Path ===

-- Path iteration 1, λ = 1.000e-04   (r(λ) prev = 128)
  λ=3.583e-04 | Epoch  70 | lr=6.2500e-05 | Recon MSE=5.206554e-06 | ‖ω‖₁=1.057976e+00
  λ=3.583e-04 | Epoch  80 | lr=3.1250e-05 | Recon MSE=4.913703e-06 | ‖ω‖₁=1.051015e+00
  λ=3.583e-04 | Epoch  80 | Recon MSE=4.913703e-06 | ‖ω‖₁=1.051015e+00
  → at λ=3.583e-04:  r(λ)=127, rel_err=2.508394e-03

-- Path iteration 9, λ = 4.300e-04   (r(λ) prev = 127)
  λ=4.300e-04 | Epoch   1 | lr=1.0000e-03 | Recon MSE=6.226372e-02 | ‖ω‖₁=1.111116e+00
  λ=4.300e-04 | Epoch  10 | lr=1.0000e-03 | Recon MSE=1.957376e-05 | ‖ω‖₁=1.101411e+00
  λ=4.300e-04 | Epoch  20 | lr=5.0000e-04 | Recon MSE=1.330302e-05 | ‖ω‖₁=1.079152e+00
  λ=4.300e-04 | Epoch  30 | lr=5.0000e-04 | Recon MSE=8.713406e-06 | ‖ω‖₁=1.071753e+00
  λ=4.300e-04 | Epoch  40 | lr=2.5000e-04 | Recon MSE=6.344883e-06 | ‖ω‖₁=1.063185e+00
  λ=4.300e-04 | Epoch  50 | lr=1.2500e-04 | Recon MSE=5.373533e-06 | ‖ω‖₁=1.054684e+00
  λ=4.300e-04 | Epoch  60 | lr=1.2500e-04 | Recon MSE=5.223671e-06 | ‖ω‖₁=1.046837e+00
  λ=4.300e-04 | Epoch  70 | lr=6.2500e-05 | Recon MSE=5.017300e-06 | ‖ω‖₁=1.039497e+00
  λ=4.300e-04 | Epoch  80 | lr=3.1250e-05 | Recon MSE=4.726399e-06 | ‖ω‖₁=1.032426e+00
  λ=4.300e-04 | Epoch  80 | Recon MSE=4.726399e-06 | ‖ω‖₁=1.032426e+00
  → at λ=4.300e-04:  r(λ)=127, rel_err=2.528248e-03

-- Path iteration 10, λ = 5.160e-04   (r(λ) prev = 127)
  λ=5.160e-04 | Epoch   1 | lr=1.0000e-03 | Recon MSE=6.133098e-02 | ‖ω‖₁=1.108315e+00
  λ=5.160e-04 | Epoch  10 | lr=1.0000e-03 | Recon MSE=2.093995e-05 | ‖ω‖₁=1.091904e+00
  λ=5.160e-04 | Epoch  20 | lr=5.0000e-04 | Recon MSE=1.200368e-05 | ‖ω‖₁=1.080723e+00
  λ=5.160e-04 | Epoch  30 | lr=5.0000e-04 | Recon MSE=7.560512e-06 | ‖ω‖₁=1.074291e+00
  λ=5.160e-04 | Epoch  40 | lr=2.5000e-04 | Recon MSE=5.662166e-06 | ‖ω‖₁=1.063579e+00
  λ=5.160e-04 | Epoch  50 | lr=1.2500e-04 | Recon MSE=5.017836e-06 | ‖ω‖₁=1.053122e+00
  λ=5.160e-04 | Epoch  60 | lr=1.2500e-04 | Recon MSE=4.626571e-06 | ‖ω‖₁=1.043340e+00
  λ=5.160e-04 | Epoch  70 | lr=6.2500e-05 | Recon MSE=4.369849e-06 | ‖ω‖₁=1.034706e+00
  λ=5.160e-04 | Epoch  80 | lr=3.1250e-05 | Recon MSE=4.539531e-06 | ‖ω‖₁=1.026569e+00
  λ=5.160e-04 | Epoch  80 | Recon MSE=4.539531e-06 | ‖ω‖₁=1.026569e+00
  → at λ=5.160e-04:  r(λ)=127, rel_err=1.946861e-03

-- Path iteration 11, λ = 6.192e-04   (r(λ) prev = 127)
  λ=6.192e-04 | Epoch   1 | lr=1.0000e-03 | Recon MSE=6.283466e-02 | ‖ω‖₁=1.105494e+00
  λ=6.192e-04 | Epoch  10 | lr=1.0000e-03 | Recon MSE=2.204996e-05 | ‖ω‖₁=1.086498e+00
  λ=6.192e-04 | Epoch  20 | lr=5.0000e-04 | Recon MSE=1.091647e-05 | ‖ω‖₁=1.083985e+00
  λ=6.192e-04 | Epoch  30 | lr=5.0000e-04 | Recon MSE=6.321683e-06 | ‖ω‖₁=1.073802e+00
  λ=6.192e-04 | Epoch  40 | lr=2.5000e-04 | Recon MSE=4.876745e-06 | ‖ω‖₁=1.059787e+00
