2025-06-16 14:42:46,463 - sparsemodesnet.advecting_pulse - INFO - Starting advecting_pulse experiment
2025-06-16 14:42:46,463 - sparsemodesnet.advecting_pulse - INFO - Log file: /Users/tkoike3/Dev/Research/sparsemodesnet/experiments/logs/advecting_pulse_20250616_144246.log
2025-06-16 14:42:46,464 - sparsemodesnet.advecting_pulse - INFO - Experiment: Advecting Pulse
2025-06-16 14:42:46,465 - sparsemodesnet.advecting_pulse - INFO - Data shape: (1024, 1000)
2025-06-16 14:42:46,465 - sparsemodesnet.advecting_pulse - INFO - POD dimension: 100
2025-06-16 14:42:46,465 - sparsemodesnet.advecting_pulse - INFO - Hidden units: [100, 2000, 5050]
2025-06-16 14:42:46,466 - sparsemodesnet.advecting_pulse - INFO - Regularization method: dense2sparse
2025-06-16 14:42:46,466 - sparsemodesnet.advecting_pulse - INFO - Device: mps
2025-06-16 14:42:46,466 - sparsemodesnet.advecting_pulse - INFO - Training parameters: M=10.0, lr=0.001, batch_size=256
2025-06-16 14:42:46,466 - sparsemodesnet.advecting_pulse - INFO - Optimizer: Adam, knee_method: zmethod
2025-06-16 14:42:46,467 - sparsemodesnet.advecting_pulse - INFO - ==================================================

=== SparseModesNet (λ-path=dense2sparse) on Advecting Pulse: d=1024, n=1000, s=100 ===

=== Dense-To-Sparse (default) λ-Path ===

-- Path iteration 1, λ = 1.000e-01   (r(λ) prev = 100)
  λ=1.103e-01 | Epoch 110 | lr=1.2500e-04 | Recon MSE=2.232944e-01 | ‖ω‖₁=1.086768e-01
  λ=1.103e-01 | Epoch 120 | lr=1.2500e-04 | Recon MSE=2.325008e-01 | ‖ω‖₁=8.921799e-02
  λ=1.103e-01 | Epoch 130 | lr=6.2500e-05 | Recon MSE=2.909085e-01 | ‖ω‖₁=7.143892e-02
  λ=1.103e-01 | Epoch 140 | lr=6.2500e-05 | Recon MSE=3.494783e-01 | ‖ω‖₁=5.672000e-02
  λ=1.103e-01 | Epoch 150 | lr=6.2500e-05 | Recon MSE=4.067571e-01 | ‖ω‖₁=4.548213e-02
  λ=1.103e-01 | Epoch 160 | lr=3.1250e-05 | Recon MSE=4.492564e-01 | ‖ω‖₁=3.694828e-02
  → at λ=1.103e-01:  r(λ)=87,  rel_err=1.084600e-01

-- Path iteration 4, λ = 1.158e-01   (r(λ) prev = 87)
  λ=1.158e-01 | Epoch   1 | lr=1.0000e-03 | Recon MSE=8.158199e+00 | ‖ω‖₁=7.135980e+01
  λ=1.158e-01 | Epoch  10 | lr=1.0000e-03 | Recon MSE=3.603158e+00 | ‖ω‖₁=7.256594e-01
  λ=1.158e-01 | Epoch  20 | lr=1.0000e-03 | Recon MSE=5.870437e-01 | ‖ω‖₁=5.884511e-01
  λ=1.158e-01 | Epoch  30 | lr=1.0000e-03 | Recon MSE=3.038420e-01 | ‖ω‖₁=4.915958e-01
  λ=1.158e-01 | Epoch  40 | lr=5.0000e-04 | Recon MSE=2.356098e-01 | ‖ω‖₁=4.108250e-01
  λ=1.158e-01 | Epoch  50 | lr=5.0000e-04 | Recon MSE=2.202431e-01 | ‖ω‖₁=3.428870e-01
  λ=1.158e-01 | Epoch  60 | lr=5.0000e-04 | Recon MSE=2.062503e-01 | ‖ω‖₁=2.842071e-01
  λ=1.158e-01 | Epoch  70 | lr=2.5000e-04 | Recon MSE=1.993211e-01 | ‖ω‖₁=2.321055e-01
  λ=1.158e-01 | Epoch  80 | lr=2.5000e-04 | Recon MSE=2.001245e-01 | ‖ω‖₁=1.887752e-01
  λ=1.158e-01 | Epoch  90 | lr=2.5000e-04 | Recon MSE=2.003624e-01 | ‖ω‖₁=1.534240e-01
  λ=1.158e-01 | Epoch 100 | lr=1.2500e-04 | Recon MSE=2.207049e-01 | ‖ω‖₁=1.223503e-01
  λ=1.158e-01 | Epoch 110 | lr=1.2500e-04 | Recon MSE=2.333810e-01 | ‖ω‖₁=9.838571e-02
  λ=1.158e-01 | Epoch 120 | lr=1.2500e-04 | Recon MSE=2.398914e-01 | ‖ω‖₁=8.006578e-02
  λ=1.158e-01 | Epoch 130 | lr=6.2500e-05 | Recon MSE=3.102458e-01 | ‖ω‖₁=6.329651e-02
  λ=1.158e-01 | Epoch 140 | lr=6.2500e-05 | Recon MSE=3.780933e-01 | ‖ω‖₁=5.019572e-02
  λ=1.158e-01 | Epoch 150 | lr=6.2500e-05 | Recon MSE=4.416364e-01 | ‖ω‖₁=4.012237e-02
  λ=1.158e-01 | Epoch 160 | lr=3.1250e-05 | Recon MSE=4.922591e-01 | ‖ω‖₁=3.234485e-02
  → at λ=1.158e-01:  r(λ)=83,  rel_err=1.159664e-01

-- Path iteration 5, λ = 1.216e-01   (r(λ) prev = 83)
  λ=1.216e-01 | Epoch   1 | lr=1.0000e-03 | Recon MSE=7.534321e+00 | ‖ω‖₁=6.997288e+01
  λ=1.216e-01 | Epoch  10 | lr=1.0000e-03 | Recon MSE=3.304372e+00 | ‖ω‖₁=7.171118e-01
  λ=1.216e-01 | Epoch  20 | lr=1.0000e-03 | Recon MSE=5.424203e-01 | ‖ω‖₁=5.762464e-01
  λ=1.216e-01 | Epoch  30 | lr=1.0000e-03 | Recon MSE=2.920616e-01 | ‖ω‖₁=4.755852e-01
  λ=1.216e-01 | Epoch  40 | lr=5.0000e-04 | Recon MSE=2.294124e-01 | ‖ω‖₁=3.923251e-01
  λ=1.216e-01 | Epoch  50 | lr=5.0000e-04 | Recon MSE=2.108550e-01 | ‖ω‖₁=3.230273e-01
  λ=1.216e-01 | Epoch  60 | lr=5.0000e-04 | Recon MSE=2.002184e-01 | ‖ω‖₁=2.640178e-01
  λ=1.216e-01 | Epoch  70 | lr=2.5000e-04 | Recon MSE=1.954855e-01 | ‖ω‖₁=2.121231e-01
  λ=1.216e-01 | Epoch  80 | lr=2.5000e-04 | Recon MSE=1.952579e-01 | ‖ω‖₁=1.698374e-01
  λ=1.216e-01 | Epoch  90 | lr=2.5000e-04 | Recon MSE=1.963857e-01 | ‖ω‖₁=1.361048e-01
  λ=1.216e-01 | Epoch 100 | lr=1.2500e-04 | Recon MSE=2.239514e-01 | ‖ω‖₁=1.070813e-01
  λ=1.216e-01 | Epoch 110 | lr=1.2500e-04 | Recon MSE=2.355846e-01 | ‖ω‖₁=8.555958e-02
  λ=1.216e-01 | Epoch 120 | lr=1.2500e-04 | Recon MSE=2.422365e-01 | ‖ω‖₁=6.955302e-02
  λ=1.216e-01 | Epoch 130 | lr=6.2500e-05 | Recon MSE=3.362822e-01 | ‖ω‖₁=5.461715e-02
  λ=1.216e-01 | Epoch 140 | lr=6.2500e-05 | Recon MSE=4.110467e-01 | ‖ω‖₁=4.272276e-02
  λ=1.216e-01 | Epoch 150 | lr=6.2500e-05 | Recon MSE=4.879680e-01 | ‖ω‖₁=3.357029e-02
  λ=1.216e-01 | Epoch 160 | lr=3.1250e-05 | Recon MSE=5.550336e-01 | ‖ω‖₁=2.661118e-02
  → at λ=1.216e-01:  r(λ)=87,  rel_err=1.256838e-01

-- Path iteration 6, λ = 1.276e-01   (r(λ) prev = 87)
  λ=1.276e-01 | Epoch   1 | lr=1.0000e-03 | Recon MSE=7.208373e+00 | ‖ω‖₁=6.846139e+01
  λ=1.276e-01 | Epoch  10 | lr=1.0000e-03 | Recon MSE=3.283927e+00 | ‖ω‖₁=7.059479e-01
  λ=1.276e-01 | Epoch  20 | lr=1.0000e-03 | Recon MSE=5.401011e-01 | ‖ω‖₁=5.625718e-01
  λ=1.276e-01 | Epoch  30 | lr=1.0000e-03 | Recon MSE=2.813000e-01 | ‖ω‖₁=4.604373e-01
  λ=1.276e-01 | Epoch  40 | lr=5.0000e-04 | Recon MSE=2.297933e-01 | ‖ω‖₁=3.765836e-01
  λ=1.276e-01 | Epoch  50 | lr=5.0000e-04 | Recon MSE=2.143544e-01 | ‖ω‖₁=3.071441e-01
  λ=1.276e-01 | Epoch  60 | lr=5.0000e-04 | Recon MSE=1.993842e-01 | ‖ω‖₁=2.484132e-01
  λ=1.276e-01 | Epoch  70 | lr=2.5000e-04 | Recon MSE=1.964859e-01 | ‖ω‖₁=1.968490e-01
  λ=1.276e-01 | Epoch  80 | lr=2.5000e-04 | Recon MSE=2.020324e-01 | ‖ω‖₁=1.556731e-01
  λ=1.276e-01 | Epoch  90 | lr=2.5000e-04 | Recon MSE=1.994065e-01 | ‖ω‖₁=1.236096e-01
  λ=1.276e-01 | Epoch 100 | lr=1.2500e-04 | Recon MSE=2.293457e-01 | ‖ω‖₁=9.630244e-02
  λ=1.276e-01 | Epoch 110 | lr=1.2500e-04 | Recon MSE=2.413577e-01 | ‖ω‖₁=7.624509e-02
  λ=1.276e-01 | Epoch 120 | lr=1.2500e-04 | Recon MSE=2.486207e-01 | ‖ω‖₁=6.171561e-02
  λ=1.276e-01 | Epoch 130 | lr=6.2500e-05 | Recon MSE=3.598950e-01 | ‖ω‖₁=4.802527e-02
  λ=1.276e-01 | Epoch 140 | lr=6.2500e-05 | Recon MSE=4.409332e-01 | ‖ω‖₁=3.740002e-02
  λ=1.276e-01 | Epoch 150 | lr=6.2500e-05 | Recon MSE=5.314895e-01 | ‖ω‖₁=2.919526e-02
  λ=1.276e-01 | Epoch 160 | lr=3.1250e-05 | Recon MSE=6.044349e-01 | ‖ω‖₁=2.303435e-02
  → at λ=1.276e-01:  r(λ)=82,  rel_err=1.329831e-01

-- Path iteration 7, λ = 1.340e-01   (r(λ) prev = 82)
  λ=1.340e-01 | Epoch   1 | lr=1.0000e-03 | Recon MSE=7.049910e+00 | ‖ω‖₁=6.690411e+01
  λ=1.340e-01 | Epoch  10 | lr=1.0000e-03 | Recon MSE=3.285122e+00 | ‖ω‖₁=6.968199e-01
  λ=1.340e-01 | Epoch  20 | lr=1.0000e-03 | Recon MSE=5.500214e-01 | ‖ω‖₁=5.511695e-01
  λ=1.340e-01 | Epoch  30 | lr=1.0000e-03 | Recon MSE=2.868934e-01 | ‖ω‖₁=4.475931e-01
  λ=1.340e-01 | Epoch  40 | lr=5.0000e-04 | Recon MSE=2.306851e-01 | ‖ω‖₁=3.624387e-01
  λ=1.340e-01 | Epoch  50 | lr=5.0000e-04 | Recon MSE=2.131927e-01 | ‖ω‖₁=2.916099e-01
  λ=1.340e-01 | Epoch  60 | lr=5.0000e-04 | Recon MSE=2.023692e-01 | ‖ω‖₁=2.323178e-01
  λ=1.340e-01 | Epoch  70 | lr=2.5000e-04 | Recon MSE=1.978791e-01 | ‖ω‖₁=1.813698e-01
  λ=1.340e-01 | Epoch  80 | lr=2.5000e-04 | Recon MSE=2.039929e-01 | ‖ω‖₁=1.415934e-01
  λ=1.340e-01 | Epoch  90 | lr=2.5000e-04 | Recon MSE=2.032047e-01 | ‖ω‖₁=1.117054e-01
  λ=1.340e-01 | Epoch 100 | lr=1.2500e-04 | Recon MSE=2.423072e-01 | ‖ω‖₁=8.619509e-02
  λ=1.340e-01 | Epoch 110 | lr=1.2500e-04 | Recon MSE=2.522759e-01 | ‖ω‖₁=6.772495e-02
  λ=1.340e-01 | Epoch 120 | lr=1.2500e-04 | Recon MSE=2.690563e-01 | ‖ω‖₁=5.444549e-02
  λ=1.340e-01 | Epoch 130 | lr=6.2500e-05 | Recon MSE=4.137329e-01 | ‖ω‖₁=4.161148e-02
  λ=1.340e-01 | Epoch 140 | lr=6.2500e-05 | Recon MSE=5.107981e-01 | ‖ω‖₁=3.194176e-02
  λ=1.340e-01 | Epoch 150 | lr=6.2500e-05 | Recon MSE=6.218308e-01 | ‖ω‖₁=2.440025e-02
  λ=1.340e-01 | Epoch 160 | lr=3.1250e-05 | Recon MSE=7.228263e-01 | ‖ω‖₁=1.873073e-02
  → at λ=1.340e-01:  r(λ)=85,  rel_err=1.496880e-01

-- Path iteration 8, λ = 1.407e-01   (r(λ) prev = 85)
  λ=1.407e-01 | Epoch   1 | lr=1.0000e-03 | Recon MSE=8.299134e+00 | ‖ω‖₁=6.525178e+01
  λ=1.407e-01 | Epoch  10 | lr=1.0000e-03 | Recon MSE=3.313838e+00 | ‖ω‖₁=6.949422e-01
  λ=1.407e-01 | Epoch  20 | lr=1.0000e-03 | Recon MSE=5.507200e-01 | ‖ω‖₁=5.460035e-01
  λ=1.407e-01 | Epoch  30 | lr=1.0000e-03 | Recon MSE=2.962533e-01 | ‖ω‖₁=4.393690e-01
  λ=1.407e-01 | Epoch  40 | lr=5.0000e-04 | Recon MSE=2.363083e-01 | ‖ω‖₁=3.519856e-01
  λ=1.407e-01 | Epoch  50 | lr=5.0000e-04 | Recon MSE=2.174728e-01 | ‖ω‖₁=2.800980e-01
  λ=1.407e-01 | Epoch  60 | lr=5.0000e-04 | Recon MSE=2.040292e-01 | ‖ω‖₁=2.202210e-01
  λ=1.407e-01 | Epoch  70 | lr=2.5000e-04 | Recon MSE=2.085425e-01 | ‖ω‖₁=1.691847e-01
  λ=1.407e-01 | Epoch  80 | lr=2.5000e-04 | Recon MSE=2.118929e-01 | ‖ω‖₁=1.309098e-01
  λ=1.407e-01 | Epoch  90 | lr=2.5000e-04 | Recon MSE=2.094533e-01 | ‖ω‖₁=1.029130e-01
  λ=1.407e-01 | Epoch 100 | lr=1.2500e-04 | Recon MSE=2.506746e-01 | ‖ω‖₁=7.913200e-02
  λ=1.407e-01 | Epoch 110 | lr=1.2500e-04 | Recon MSE=2.639743e-01 | ‖ω‖₁=6.243850e-02
  λ=1.407e-01 | Epoch 120 | lr=1.2500e-04 | Recon MSE=2.768406e-01 | ‖ω‖₁=5.047170e-02
  λ=1.407e-01 | Epoch 130 | lr=6.2500e-05 | Recon MSE=4.491719e-01 | ‖ω‖₁=3.847109e-02
  λ=1.407e-01 | Epoch 140 | lr=6.2500e-05 | Recon MSE=5.587588e-01 | ‖ω‖₁=2.932467e-02
  λ=1.407e-01 | Epoch 150 | lr=6.2500e-05 | Recon MSE=7.032515e-01 | ‖ω‖₁=2.207050e-02
  λ=1.407e-01 | Epoch 160 | lr=3.1250e-05 | Recon MSE=8.404453e-01 | ‖ω‖₁=1.671090e-02
  → at λ=1.407e-01:  r(λ)=81,  rel_err=1.628807e-01

-- Path iteration 9, λ = 1.477e-01   (r(λ) prev = 81)
  λ=1.477e-01 | Epoch   1 | lr=1.0000e-03 | Recon MSE=9.200380e+00 | ‖ω‖₁=6.351227e+01
  λ=1.477e-01 | Epoch  10 | lr=1.0000e-03 | Recon MSE=3.511032e+00 | ‖ω‖₁=6.814821e-01
  λ=1.477e-01 | Epoch  20 | lr=1.0000e-03 | Recon MSE=5.882999e-01 | ‖ω‖₁=5.291772e-01
  λ=1.477e-01 | Epoch  30 | lr=1.0000e-03 | Recon MSE=3.074978e-01 | ‖ω‖₁=4.202933e-01
  λ=1.477e-01 | Epoch  40 | lr=5.0000e-04 | Recon MSE=2.441921e-01 | ‖ω‖₁=3.319464e-01
  λ=1.477e-01 | Epoch  50 | lr=5.0000e-04 | Recon MSE=2.245244e-01 | ‖ω‖₁=2.603547e-01
  λ=1.477e-01 | Epoch  60 | lr=5.0000e-04 | Recon MSE=2.128847e-01 | ‖ω‖₁=2.020949e-01
  λ=1.477e-01 | Epoch  70 | lr=2.5000e-04 | Recon MSE=2.203450e-01 | ‖ω‖₁=1.533083e-01
  λ=1.477e-01 | Epoch  80 | lr=2.5000e-04 | Recon MSE=2.246000e-01 | ‖ω‖₁=1.178122e-01
  λ=1.477e-01 | Epoch  90 | lr=2.5000e-04 | Recon MSE=2.229850e-01 | ‖ω‖₁=9.229574e-02
  λ=1.477e-01 | Epoch 100 | lr=1.2500e-04 | Recon MSE=2.698177e-01 | ‖ω‖₁=7.073480e-02
  λ=1.477e-01 | Epoch 110 | lr=1.2500e-04 | Recon MSE=2.851127e-01 | ‖ω‖₁=5.582531e-02
  λ=1.477e-01 | Epoch 120 | lr=1.2500e-04 | Recon MSE=2.928157e-01 | ‖ω‖₁=4.521257e-02
  λ=1.477e-01 | Epoch 130 | lr=6.2500e-05 | Recon MSE=5.109928e-01 | ‖ω‖₁=3.399830e-02
  λ=1.477e-01 | Epoch 140 | lr=6.2500e-05 | Recon MSE=6.493986e-01 | ‖ω‖₁=2.554994e-02
  λ=1.477e-01 | Epoch 150 | lr=6.2500e-05 | Recon MSE=8.274649e-01 | ‖ω‖₁=1.894647e-02
  λ=1.477e-01 | Epoch 160 | lr=3.1250e-05 | Recon MSE=1.005569e+00 | ‖ω‖₁=1.411500e-02
  → at λ=1.477e-01:  r(λ)=78,  rel_err=1.803699e-01

-- Path iteration 10, λ = 1.551e-01   (r(λ) prev = 78)
  λ=1.551e-01 | Epoch   1 | lr=1.0000e-03 | Recon MSE=7.656409e+00 | ‖ω‖₁=6.170662e+01
  λ=1.551e-01 | Epoch  10 | lr=1.0000e-03 | Recon MSE=3.246938e+00 | ‖ω‖₁=6.684325e-01
  λ=1.551e-01 | Epoch  20 | lr=1.0000e-03 | Recon MSE=5.459169e-01 | ‖ω‖₁=5.159370e-01
  λ=1.551e-01 | Epoch  30 | lr=1.0000e-03 | Recon MSE=2.961903e-01 | ‖ω‖₁=4.065122e-01
  λ=1.551e-01 | Epoch  40 | lr=5.0000e-04 | Recon MSE=2.362906e-01 | ‖ω‖₁=3.170655e-01
  λ=1.551e-01 | Epoch  50 | lr=5.0000e-04 | Recon MSE=2.204339e-01 | ‖ω‖₁=2.445773e-01
  λ=1.551e-01 | Epoch  60 | lr=5.0000e-04 | Recon MSE=2.088406e-01 | ‖ω‖₁=1.861096e-01
  λ=1.551e-01 | Epoch  70 | lr=2.5000e-04 | Recon MSE=2.145035e-01 | ‖ω‖₁=1.381612e-01
  λ=1.551e-01 | Epoch  80 | lr=2.5000e-04 | Recon MSE=2.196746e-01 | ‖ω‖₁=1.043167e-01
  λ=1.551e-01 | Epoch  90 | lr=2.5000e-04 | Recon MSE=2.188542e-01 | ‖ω‖₁=8.084864e-02
  λ=1.551e-01 | Epoch 100 | lr=1.2500e-04 | Recon MSE=2.731960e-01 | ‖ω‖₁=6.132016e-02
  λ=1.551e-01 | Epoch 110 | lr=1.2500e-04 | Recon MSE=2.901394e-01 | ‖ω‖₁=4.774368e-02
  λ=1.551e-01 | Epoch 120 | lr=1.2500e-04 | Recon MSE=3.033568e-01 | ‖ω‖₁=3.816021e-02
  λ=1.551e-01 | Epoch 130 | lr=6.2500e-05 | Recon MSE=5.887333e-01 | ‖ω‖₁=2.793290e-02
  λ=1.551e-01 | Epoch 140 | lr=6.2500e-05 | Recon MSE=7.633290e-01 | ‖ω‖₁=2.031751e-02
  λ=1.551e-01 | Epoch 150 | lr=6.2500e-05 | Recon MSE=1.021746e+00 | ‖ω‖₁=1.443422e-02
  λ=1.551e-01 | Epoch 160 | lr=3.1250e-05 | Recon MSE=1.285247e+00 | ‖ω‖₁=1.029756e-02
