2025-06-17 17:46:36,391 - sparsemodesnet.advecting_pulse - INFO - Starting advecting_pulse experiment
2025-06-17 17:46:36,391 - sparsemodesnet.advecting_pulse - INFO - Log file: /Users/tkoike3/Dev/Research/sparsemodesnet/experiments/logs/advecting_pulse_20250617_174636.log
2025-06-17 17:46:36,392 - sparsemodesnet.advecting_pulse - INFO - Experiment: Advecting Pulse
2025-06-17 17:46:36,392 - sparsemodesnet.advecting_pulse - INFO - Data shape: (1024, 1000)
2025-06-17 17:46:36,393 - sparsemodesnet.advecting_pulse - INFO - POD dimension: 200
2025-06-17 17:46:36,393 - sparsemodesnet.advecting_pulse - INFO - Hidden units: [200, 5000, 200]
2025-06-17 17:46:36,393 - sparsemodesnet.advecting_pulse - INFO - Regularization method: dense2sparse
2025-06-17 17:46:36,394 - sparsemodesnet.advecting_pulse - INFO - Device: mps
2025-06-17 17:46:36,394 - sparsemodesnet.advecting_pulse - INFO - Training parameters: M=2.0, lr=0.001, batch_size=256
2025-06-17 17:46:36,395 - sparsemodesnet.advecting_pulse - INFO - Optimizer: Adam, knee_method: dfdt
2025-06-17 17:46:36,396 - sparsemodesnet.advecting_pulse - INFO - NN type: PiNetNCP with polynomial order of 2, and 1 number of polynomial blocks
2025-06-17 17:46:36,396 - sparsemodesnet.advecting_pulse - INFO - ==================================================

=== SparseModesNet (λ-path=dense2sparse) on Advecting Pulse: d=1024, n=1000, s=200 ===

=== Dense-To-Sparse (default) λ-Path ===

-- Path iteration 1, λ = 1.000e-03   (r(λ) prev = 200)
  λ=1.000e-03 | Epoch   1 | lr=1.0000e-03 | Recon MSE=5.965707e-05 | ‖ω‖₁=1.995907e+02
  λ=8.916e-03 | Epoch  90 | lr=6.2500e-05 | Recon MSE=3.335270e-02 | ‖ω‖₁=4.727706e+00
  λ=8.916e-03 | Epoch 100 | lr=3.1250e-05 | Recon MSE=3.220848e-02 | ‖ω‖₁=4.510784e+00
  → at λ=8.916e-03:  r(λ)=200,  rel_err=3.373772e-02

-- Path iteration 14, λ = 1.070e-02   (r(λ) prev = 200)
  λ=1.070e-02 | Epoch   1 | lr=1.0000e-03 | Recon MSE=9.323293e-03 | ‖ω‖₁=1.948276e+02
  λ=1.070e-02 | Epoch  10 | lr=1.0000e-03 | Recon MSE=1.966494e-01 | ‖ω‖₁=1.210781e+02
  λ=1.070e-02 | Epoch  20 | lr=5.0000e-04 | Recon MSE=1.593409e-01 | ‖ω‖₁=3.856602e+01
  λ=1.070e-02 | Epoch  30 | lr=5.0000e-04 | Recon MSE=2.461911e-01 | ‖ω‖₁=6.588089e+00
  λ=1.070e-02 | Epoch  40 | lr=2.5000e-04 | Recon MSE=7.347536e-02 | ‖ω‖₁=5.939744e+00
  λ=1.070e-02 | Epoch  50 | lr=2.5000e-04 | Recon MSE=5.959605e-02 | ‖ω‖₁=5.498286e+00
  λ=1.070e-02 | Epoch  60 | lr=1.2500e-04 | Recon MSE=5.187534e-02 | ‖ω‖₁=5.142553e+00
  λ=1.070e-02 | Epoch  70 | lr=1.2500e-04 | Recon MSE=4.872237e-02 | ‖ω‖₁=4.835017e+00
  λ=1.070e-02 | Epoch  80 | lr=6.2500e-05 | Recon MSE=4.574758e-02 | ‖ω‖₁=4.563546e+00
  λ=1.070e-02 | Epoch  90 | lr=6.2500e-05 | Recon MSE=4.602525e-02 | ‖ω‖₁=4.315790e+00
  λ=1.070e-02 | Epoch 100 | lr=3.1250e-05 | Recon MSE=4.418783e-02 | ‖ω‖₁=4.089386e+00
  → at λ=1.070e-02:  r(λ)=200,  rel_err=3.953730e-02

-- Path iteration 15, λ = 1.284e-02   (r(λ) prev = 200)
  λ=1.284e-02 | Epoch   1 | lr=1.0000e-03 | Recon MSE=1.300049e-02 | ‖ω‖₁=1.937980e+02
  λ=1.284e-02 | Epoch  10 | lr=1.0000e-03 | Recon MSE=2.813469e-01 | ‖ω‖₁=1.046629e+02
  λ=1.284e-02 | Epoch  20 | lr=5.0000e-04 | Recon MSE=4.590621e-01 | ‖ω‖₁=9.961934e+00
  λ=1.284e-02 | Epoch  30 | lr=5.0000e-04 | Recon MSE=1.155601e-01 | ‖ω‖₁=6.164244e+00
  λ=1.284e-02 | Epoch  40 | lr=2.5000e-04 | Recon MSE=6.520508e-02 | ‖ω‖₁=5.590711e+00
  λ=1.284e-02 | Epoch  50 | lr=2.5000e-04 | Recon MSE=5.483719e-02 | ‖ω‖₁=5.159947e+00
  λ=1.284e-02 | Epoch  60 | lr=1.2500e-04 | Recon MSE=4.692445e-02 | ‖ω‖₁=4.802754e+00
  λ=1.284e-02 | Epoch  70 | lr=1.2500e-04 | Recon MSE=4.389602e-02 | ‖ω‖₁=4.487495e+00
  λ=1.284e-02 | Epoch  80 | lr=6.2500e-05 | Recon MSE=4.062074e-02 | ‖ω‖₁=4.206362e+00
  λ=1.284e-02 | Epoch  90 | lr=6.2500e-05 | Recon MSE=3.999841e-02 | ‖ω‖₁=3.947568e+00
  λ=1.284e-02 | Epoch 100 | lr=3.1250e-05 | Recon MSE=3.878736e-02 | ‖ω‖₁=3.708981e+00
  → at λ=1.284e-02:  r(λ)=200,  rel_err=3.702566e-02

-- Path iteration 16, λ = 1.541e-02   (r(λ) prev = 200)
  λ=1.541e-02 | Epoch   1 | lr=1.0000e-03 | Recon MSE=1.931195e-02 | ‖ω‖₁=1.925122e+02
  λ=1.541e-02 | Epoch  10 | lr=1.0000e-03 | Recon MSE=4.504745e-01 | ‖ω‖₁=8.489336e+01
  λ=1.541e-02 | Epoch  20 | lr=5.0000e-04 | Recon MSE=6.216950e-01 | ‖ω‖₁=6.753758e+00
  λ=1.541e-02 | Epoch  30 | lr=5.0000e-04 | Recon MSE=1.198008e-01 | ‖ω‖₁=5.813870e+00
  λ=1.541e-02 | Epoch  40 | lr=2.5000e-04 | Recon MSE=8.066292e-02 | ‖ω‖₁=5.247806e+00
  λ=1.541e-02 | Epoch  50 | lr=2.5000e-04 | Recon MSE=6.894623e-02 | ‖ω‖₁=4.804403e+00
